"Funding Agencies","Record Count","% of 354"
"LENFAST OCEAN PROGRAM PEW CHARITABLE TRUSTS",1,0.282
"LENFEST OCEAN PROGRAM FROM THE PEW CHARITABLE TRUSTS",1,0.282
"LENFEST OCEAN PROGRAM GRANT PEW CHARITABLE TRUSTS",1,0.282
"LENFEST OCEAN PROGRAM PEW CHARITABLE TRUSTS",1,0.282
"LEVERHULME TRUST",1,0.282
"LINNEAN SOCIETY SYSTEMATICS RESEARCH FUND",1,0.282
"LIONS FOUNDATION",1,0.282
"LIPI JSPS JOINT RESEARCH GRANT",1,0.282
"MAGSTER EN ECOLOGA MARINA FROM THE UCSC",1,0.282
"MAJOR PROJECT OF SOCIAL SCIENCE PLANNING OF SHANDONG PROVINCE",1,0.282
"MAJOR SCIENCE AND TECHNOLOGY PROGRAM FOR WATER POLLUTION CONTROL AND TREATMENT",1,0.282
"MANAGEMENT BODY OF LAKES KORONIA VOLVI",1,0.282
"MARIE CURIE ACTIONS",5,1.412
"MARINE AND RENEWABLE ENERGY IRELAND MAREI THE SFI CENTRE FOR MARINE AND RENEWABLE ENERGY RESEARCH",1,0.282
"MARINE AND TROPICAL RESEARCH FUND MTSRF",1,0.282
"MARINE ECOSYSTEM EVOLUTION IN A CHANGING ENVIRONMENT MEECE",1,0.282
"MARINE ECOSYSTEMS RESEARCH PROGRAMME",1,0.282
"MARINE ENVIRONMENTAL OBSERVATION PREDICTION AND RESPONSE NETWORK MEOPAR",1,0.282
"MARINE INSTITUTE",1,0.282
"MARINE RESEARCH SUB PROGRAMME OF THE IRISH NATIONAL DEVELOPMENT PLAN",1,0.282
"MARISLA FOUNDATION",3,0.847
"MATERIALS FOR STRATEGIC ADVANTAGE PROGRAMME OF THE DEFENCE SCIENCE AND TECHNOLOGY LABORATORY",1,0.282
"MAVA FOUNDATION",3,0.847
"MBA SENIOR RESEARCH FELLOWSHIP",1,0.282
"MCIN AEI",1,0.282
"MDPI",1,0.282
"MEMECAN PROJECT CANARY ISLANDS CEI TRICONTINENTAL ATLANTIC CAMPUS",1,0.282
"MERMAC PROJECT CANARY ISLANDS CEI TRICONTINENTAL ATLANTIC CAMPUS",1,0.282
"MICROSOFT",1,0.282
"MINDEROO FOUNDATION",3,0.847
"MINERALS MANAGEMENT SERVICE",1,0.282
"MINISTERIO DE CIENCIA TECNOLOGIA E INNOVACION PRODUCTIVA IN ARGENTINA",1,0.282
"MINISTERO DELL AMBIENTE E DELLA TUTELA DEL TERRITORIO E DEL MARE",1,0.282
"MINISTRY FOR SUSTAINABLE DEVELOPMENT THE ENVIRONMENT AND CLIMATE CHANGE",1,0.282
"MINISTRY OF EDUCATION AND SCIENCE RUSSIAN FEDERATION",1,0.282
"MINISTRY OF EDUCATION CULTURE RESEARCH AND TECHNOLOGY THE REPUBLIC OF INDONESIA",1,0.282
"MINISTRY OF EDUCATION CULTURE SPORTS SCIENCE AND TECHNOLOGY JAPAN MEXT",5,1.412
"MINISTRY OF EDUCATION MALAYSIA",2,0.565
"MINISTRY OF EDUCATION UNIVERSITIES AND RESEARCH MIUR",1,0.282
"MINISTRY OF ENERGY SCIENCE TECHNOLOGY ENVIRONMENT AND CLIMATE CHANGE MESTECC MALAYSIA",1,0.282
"MINISTRY OF ENVIRONMENT FOREST AND CLIMATE CHANGE GOVERNMENT OF INDIA",1,0.282
"MINISTRY OF SCIENCE AND TECHNOLOGY OF TAIWAN MOST",1,0.282
"MINISTRY OF SCIENCE AND TECHNOLOGY TAIWAN",1,0.282
"MONTCLAIR STATE UNIVERSITY",1,0.282
"MUGLA SITKI KOCMAN UNIVERSITY",1,0.282
"MUSEUMS VICTORIA",1,0.282
"NATIONAL AERONAUTICS SPACE ADMINISTRATION NASA",2,0.565
"NATIONAL AGENCY FOR RESEARCH AND INNOVATION ANII URUGUAY",1,0.282
"NATIONAL ASSOCIATION FOR TECHNICAL RESEARCH AND ATLANTIQUE LANDES RECIFS",1,0.282
"NATIONAL BASIC RESEARCH PROGRAM OF CHINA",3,0.847
"NATIONAL CENTER FOR ECOLOGICAL ANALYSIS AND SYNTHESIS COMES FROM NATIONAL SCIENCE FOUNDATION",1,0.282
"NATIONAL CENTER FOR ECOLOGICAL ANALYSIS AND SYNTHESIS NCEAS",1,0.282
"NATIONAL KEY RESEARCH AND DEVELOPMENT PROGRAM OF CHINA",1,0.282
"NATIONAL KEY RESEARCH AND DEVELOPMENT PROJECT OF CHINA",1,0.282
"NATIONAL MARINE FISHERIES SERVICE SOUTHEAST FISHERIES SCIENCE CENTER MIAMI FL",1,0.282
"NATIONAL NATURAL SCIENCE FOUNDA TION OF SHANDONG PROVINCE CHINA",1,0.282
"NATIONAL NATURAL SCIENCE FOUNDATION OF CHINA NSFC",11,3.107
"NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION OFFICE OF EDUCATION EDUCATIONAL PARTNERSHIP PROGRAM",1,0.282
"NATIONAL OCEANIC ATMOSPHERIC ADMIN NOAA USA",8,2.26
"NATIONAL OCEANOGRAPHIC AND ATMOSPHERIC AGENCY NOAA R C SHELBY CENTER FOR ECOSYSTEM BASED FISHERIES MANAGEMENT",1,0.282
"NATIONAL OCEANOGRAPHIC AND ATMOSPHERIC AGENCY R C SHELBY CENTER FOR ECOSYSTEM BASED FISHERIES MANAGEMENT",1,0.282
"NATIONAL OFFICE OF PHILOSOPHY AND SOCIAL SCIENCES",1,0.282
"NATIONAL RESEARCH COUNCIL OF THAILAND NRCT",1,0.282
"NATIONAL RESEARCH FOUNDATION",1,0.282
"NATIONAL RESEARCH FOUNDATION SOUTH AFRICA",3,0.847
"NATIONAL SCIENCE FOUNDATION NSF",21,5.932
"NATIONAL TAIWAN OCEAN UNIVERSITY NTOU",1,0.282
"NATIONAL UNIVERSITY OF IRELAND GALWAY COLLEGE OF SCIENCE",1,0.282
"NATIONAL UNIVERSITY OF LA PLATA",3,0.847
"NATURAL ENVIRONMENT RESEARCH COUNCIL NERC",22,6.215
"NATURAL RESOURCE DAMAGE ASSESSMENT PROGRAM",1,0.282
"NATURAL SCIENCES AND ENGINEERING RESEARCH COUNCIL OF CANADA NSERC",13,3.672
"NERC ENVEAST DTP",1,0.282
"NERC MARINE ENVIRONMENTAL MAPPING PROGRAMME MAREMAP",1,0.282
"NEREUS PREDICTING THE FUTURE OCEAN ACTIVITY",1,0.282
"NEW JERSEY DEPARTMENT OF ENVIRONMENTAL PROTECTION",1,0.282
"NEW YORK DEPARTMENT OF STATE",1,0.282
