"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Elmasry E.; Abdelrazek F.A.; El-Sayed A.-F.M.","Elmasry, Elzahrae (56589966400); Abdelrazek, Fatma A. (57830108500); El-Sayed, Abdel-Fattah M. (7102287328)","56589966400; 57830108500; 7102287328","Growth pattern and population status of the sea urchin Paracentrotus lividus (Lamarck, 1816) on the Mediterranean coast of Egypt","2023","Egyptian Journal of Aquatic Research","49","3","","409","416","7","2","10.1016/j.ejar.2023.07.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167810246&doi=10.1016%2fj.ejar.2023.07.001&partnerID=40&md5=5ec4f99d51bbfa58a03f817d8a8bc66f","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85167810246"
"Pipitone C.; Innocenti G.; Pepe P.; Tumbiolo M.; Lo Brutto S.","Pipitone, Carlo (6603205872); Innocenti, Gianna (26643638300); Pepe, Paola (58181434700); Tumbiolo, Maria (6505801633); Lo Brutto, Sabrina (57222385799)","6603205872; 26643638300; 58181434700; 6505801633; 57222385799","The Revision of the Crustacea Collection of the Museum of Zoology “P. Doderlein” under the Framework of the National Biodiversity Future Center","2023","Diversity","15","3","424","","","","1","10.3390/d15030424","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152384346&doi=10.3390%2fd15030424&partnerID=40&md5=78816b3f2fe691943a90a7df9c58e9c8","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85152384346"
"Susanti F.; Adharini R.I.; Sari D.W.K.; Setyobudi E.","Susanti, Feni (57933981200); Adharini, Ratih Ida (55986316500); Sari, Dini Wahyu Kartika (57201271635); Setyobudi, Eko (36538104400)","57933981200; 55986316500; 57201271635; 36538104400","Genetic Diversity of Gracilaria spp. in the Intertidal Zone on the South Coast of Yogyakarta, Indonesia Based on DNA Barcoding with rbcL Marker","2023","HAYATI Journal of Biosciences","30","5","","907","917","10","0","10.4308/hjb.30.5.907-917","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165391530&doi=10.4308%2fhjb.30.5.907-917&partnerID=40&md5=01c71c6bb55664d6a955ca36bcefab52","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85165391530"
"Looby A.; Erbe C.; Bravo S.; Cox K.; Davies H.L.; Di Iorio L.; Jézéquel Y.; Juanes F.; Martin C.W.; Mooney T.A.; Radford C.; Reynolds L.K.; Rice A.N.; Riera A.; Rountree R.; Spriel B.; Stanley J.; Vela S.; Parsons M.J.G.","Looby, Audrey (57224450608); Erbe, Christine (57207560606); Bravo, Santiago (57455296900); Cox, Kieran (57194499435); Davies, Hailey L. (57209247127); Di Iorio, Lucia (15746393300); Jézéquel, Youenn (57201899827); Juanes, Francis (7003516098); Martin, Charles W. (55483449100); Mooney, T. Aran (8075046100); Radford, Craig (16023158100); Reynolds, Laura K. (36878828400); Rice, Aaron N. (8971227600); Riera, Amalis (55843081900); Rountree, Rodney (7006215071); Spriel, Brittnie (57569106200); Stanley, Jenni (35238859500); Vela, Sarah (57225447334); Parsons, Miles J. G. (36937982200)","57224450608; 57207560606; 57455296900; 57194499435; 57209247127; 15746393300; 57201899827; 7003516098; 55483449100; 8075046100; 16023158100; 36878828400; 8971227600; 55843081900; 7006215071; 57569106200; 35238859500; 57225447334; 36937982200","Global inventory of species categorized by known underwater sonifery","2023","Scientific Data","10","1","892","","","","0","10.1038/s41597-023-02745-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180206523&doi=10.1038%2fs41597-023-02745-4&partnerID=40&md5=4d2a957dd71587701c15b78e6e164713","Data paper","Final","","Scopus","2-s2.0-85180206523"
"Pires H.; Batista M.I.; Pais M.P.; Silva F.; Tanner S.E.; Henriques S.","Pires, Helena (58182107200); Batista, Marisa I. (33167526400); Pais, Miguel P. (15049708400); Silva, Filipa (58182380500); Tanner, Susanne E. (23135719900); Henriques, Sofia (24597286300)","58182107200; 33167526400; 15049708400; 58182380500; 23135719900; 24597286300","Benthic source dominance in temperate rocky reefs revealed by stable isotopes","2023","Food Webs","35","","e00284","","","","0","10.1016/j.fooweb.2023.e00284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152418369&doi=10.1016%2fj.fooweb.2023.e00284&partnerID=40&md5=851aee6a64a6b795f499a2555132cb5c","Article","Final","","Scopus","2-s2.0-85152418369"
"Balogh V.; Fragkopoulou E.; Serrão E.A.; Assis J.","Balogh, Viktória (58251731800); Fragkopoulou, Eliza (57203634815); Serrão, Ester A. (7004093604); Assis, Jorge (53463298700)","58251731800; 57203634815; 7004093604; 53463298700","A dataset of cold-water coral distribution records","2023","Data in Brief","48","","109223","","","","1","10.1016/j.dib.2023.109223","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159394265&doi=10.1016%2fj.dib.2023.109223&partnerID=40&md5=68b2d42d502e264f7fdabd213cfde144","Data paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85159394265"
"Driscoll J.; Chan K.M.A.","Driscoll, John (57220507255); Chan, Kai M. A. (55567828700)","57220507255; 55567828700","Assessing fisheries nutrient yields: The Northwest Atlantic, 1950–2014","2023","Ambio","52","2","","271","284","13","0","10.1007/s13280-022-01795-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140574870&doi=10.1007%2fs13280-022-01795-z&partnerID=40&md5=fe4f5fccc0b00e8eb9952285869a8cf7","Article","Final","","Scopus","2-s2.0-85140574870"
"Sawusdee A.; Pokavanich T.; Koolkalya S.; Rattanarat J.; Kaewrat J.; Jutagate T.","Sawusdee, Amonsak (35732091800); Pokavanich, Tanuspong (35293226000); Koolkalya, Sontaya (15063079100); Rattanarat, Jantira (57200289745); Kaewrat, Jenjira (57217210556); Jutagate, Tuantong (56311049300)","35732091800; 35293226000; 15063079100; 57200289745; 57217210556; 56311049300","Catch assemblages in the small-scale trap fishery with relation to hydrographic features of a tropical bay in the Gulf of Thailand","2023","PLoS ONE","18","12 December","e0296135","","","","0","10.1371/journal.pone.0296135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180299227&doi=10.1371%2fjournal.pone.0296135&partnerID=40&md5=024040157866897f2435ed1ebe08198b","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85180299227"
"Shalloof K.; El-Ganiny A.; El-Far A.; Fetouh M.; Aly W.; Amin A.","Shalloof, Kariman (55558056200); El-Ganiny, Azza (57751332300); El-Far, Alaa (56871203100); Fetouh, Mohamed (57217119479); Aly, Walid (57211280213); Amin, Amal (57192255863)","55558056200; 57751332300; 56871203100; 57217119479; 57211280213; 57192255863","Catch composition and species diversity during dredging operations of Mediterranean coastal lagoon, Lake Manzala, Egypt","2023","Egyptian Journal of Aquatic Research","49","3","","347","352","5","1","10.1016/j.ejar.2023.07.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166569774&doi=10.1016%2fj.ejar.2023.07.002&partnerID=40&md5=c5cb39c5eba511f4108beeb71c53bf9d","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85166569774"
"Olivier P.E.N.; Lindegren M.; Bonsdorff E.; Nordström M.C.","Olivier, P.E.N. (57194069279); Lindegren, M. (35725831600); Bonsdorff, E. (7004143785); Nordström, M.C. (23006118600)","57194069279; 35725831600; 7004143785; 23006118600","A network of biological traits: Profiling consumer-resource interactions","2024","Food Webs","38","","e00333","","","","0","10.1016/j.fooweb.2023.e00333","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181901034&doi=10.1016%2fj.fooweb.2023.e00333&partnerID=40&md5=8df860707f970e377706e4bdf4caf358","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85181901034"
"da Cunha S.M.B.; Herbst D.F.; de Macedo-Soares L.C.P.; Cremer M.J.; Hanazaki N.","da Cunha, Suelen Maria Beeck (58071957200); Herbst, Dannieli Firme (55924452800); de Macedo-Soares, Luis C.P. (56096350400); Cremer, Marta Jussara (25627278300); Hanazaki, Natalia (6602817855)","58071957200; 55924452800; 56096350400; 25627278300; 6602817855","Selection of fish resources for consumption and sale by artisanal fishers and implications to fisheries sustainability","2023","Fisheries Research","261","","106615","","","","3","10.1016/j.fishres.2023.106615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146605254&doi=10.1016%2fj.fishres.2023.106615&partnerID=40&md5=85a47dad7e25ddde3516513e68892c45","Article","Final","","Scopus","2-s2.0-85146605254"
"Dupaix A.; Mérillet L.; Kopp D.; Mouchet M.; Robert M.","Dupaix, Amaël (57194776362); Mérillet, Laurène (57021798000); Kopp, Dorothée (26027515400); Mouchet, Maud (56366255900); Robert, Marianne (54896030800)","57194776362; 57021798000; 26027515400; 56366255900; 54896030800","Using biological traits to get insights into the bentho-demersal community sensitivity to trawling in the Celtic Sea","2021","ICES Journal of Marine Science","78","3","","1063","1073","10","3","10.1093/icesjms/fsab011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112452001&doi=10.1093%2ficesjms%2ffsab011&partnerID=40&md5=68fb67a7e79316d3ebb0ed8772692dbd","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85112452001"
"Theodorou J.A.; Akrivos V.; Katselis G.; Moutopoulos D.K.","Theodorou, John A. (6603499253); Akrivos, Vasilis (57219220779); Katselis, George (8373869200); Moutopoulos, Dimitrios K. (6507317714)","6603499253; 57219220779; 8373869200; 6507317714","Use of Local Ecological Knowledge on the Natural Recruitment of Bivalve Species of Commercial Exploitation in a Natura Area","2022","Journal of Marine Science and Engineering","10","2","125","","","","4","10.3390/jmse10020125","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123422402&doi=10.3390%2fjmse10020125&partnerID=40&md5=db4faa476468899d4dd6bd041b993701","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85123422402"
"Pauly D.; Liang C.; Xian W.; Chu E.; Bailly N.","Pauly, Daniel (7007030396); Liang, Cui (57193547381); Xian, Weiwei (7004036931); Chu, Elaine (57280359600); Bailly, Nicolas (6603449708)","7007030396; 57193547381; 7004036931; 57280359600; 6603449708","The Sizes, Growth and Reproduction of ArrowWorms (Chaetognatha) in Light of the Gill-Oxygen Limitation Theory (GOLT)","2021","Journal of Marine Science and Engineering","9","12","1397","","","","3","10.3390/jmse9121397","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121728064&doi=10.3390%2fjmse9121397&partnerID=40&md5=550b93a4dc98cba977b04ca1f1755bf4","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85121728064"
"Lejeune B.; Mouchet M.A.; Mehault S.; Kopp D.","Lejeune, Benjamin (57201057312); Mouchet, Maud Aline (56366255900); Mehault, Sonia (35810627000); Kopp, Dorothée (26027515400)","57201057312; 56366255900; 35810627000; 26027515400","Gut content metabarcoding reveals potential importance of fisheries discards consumption in marine fauna","2022","Canadian Journal of Fisheries and Aquatic Sciences","79","7","","1064","1073","9","8","10.1139/cjfas-2021-0267","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132228240&doi=10.1139%2fcjfas-2021-0267&partnerID=40&md5=9545ecba5fe69ebf732ac204dd5f1550","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85132228240"
"Hobern D.; Barik S.K.; Christidis L.; T.Garnett S.; Kirk P.; Orrell T.M.; Pape T.; Pyle R.L.; Thiele K.R.; Zachos F.E.; Bánki O.","Hobern, Donald (34876893900); Barik, Saroj K. (7006250248); Christidis, Les (6603882072); T.Garnett, Stephen (7004285282); Kirk, Paul (7004847664); Orrell, Thomas M. (6508329284); Pape, Thomas (55197003400); Pyle, Richard L. (36093389200); Thiele, Kevin R. (7005619490); Zachos, Frank E. (6507044940); Bánki, Olaf (7801576907)","34876893900; 7006250248; 6603882072; 7004285282; 7004847664; 6508329284; 55197003400; 36093389200; 7005619490; 6507044940; 7801576907","Towards a global list of accepted species VI: The Catalogue of Life checklist","2021","Organisms Diversity and Evolution","21","4","","677","690","13","21","10.1007/s13127-021-00516-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111091177&doi=10.1007%2fs13127-021-00516-w&partnerID=40&md5=2854b520dcbb3d0bba8e761f6e39c892","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85111091177"
"Tan H.Y.; Goh Z.Y.; Loh K.-H.; Then A.Y.-H.; Omar H.; Chang S.-W.","Tan, Hui Yuan (57226663831); Goh, Zhi Yun (57226673338); Loh, Kar-Hoe (18042491600); Then, Amy Yee-Hui (55533045900); Omar, Hasmahzaiti (50162335800); Chang, Siow-Wee (55276259900)","57226663831; 57226673338; 18042491600; 55533045900; 50162335800; 55276259900","Cephalopod species identification using integrated analysis of machine learning and deep learning approaches","2021","PeerJ","9","","e11825","","","","12","10.7717/peerj.11825","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112269592&doi=10.7717%2fpeerj.11825&partnerID=40&md5=85edce5f6aa8afd3bc1501b15f35d065","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85112269592"
"Ouyang X.; Duarte C.M.; Cheung S.-G.; Tam N.F.; Cannicci S.; Martin C.; Lo H.S.; Lee S.Y.","Ouyang, Xiaoguang (57192406351); Duarte, Carlos M. (55636631300); Cheung, Siu-Gin (7202473456); Tam, Nora Fung-Yee (35308128400); Cannicci, Stefano (6604049774); Martin, Cecilia (57197714104); Lo, Hoi Shing (56553692200); Lee, Shing Yip (7601394910)","57192406351; 55636631300; 7202473456; 35308128400; 6604049774; 57197714104; 56553692200; 7601394910","Fate and Effects of Macro- and Microplastics in Coastal Wetlands","2022","Environmental Science and Technology","56","4","","2386","2397","11","52","10.1021/acs.est.1c06732","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124288961&doi=10.1021%2facs.est.1c06732&partnerID=40&md5=ac3263b65c093f79d93c9c518fc77590","Article","Final","","Scopus","2-s2.0-85124288961"
"Muñoz I.; García-Isarch E.; Cuesta J.A.","Muñoz, Isabel (55169073900); García-Isarch, Eva (56034344700); Cuesta, Jose A. (35279171100)","55169073900; 56034344700; 35279171100","Annotated and updated checklist of marine crabs (Decapoda: Brachyura) of Mozambique supported by morphological and molecular data from shelf and slope species of the “MOZAMBIQUE” surveys","2021","Zootaxa","5056","1","","1","67","66","1","10.11646/zootaxa.5056.1.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117963184&doi=10.11646%2fzootaxa.5056.1.1&partnerID=40&md5=b64fd7ee0d360239bcb74ac0a68c9fde","Review","Final","","Scopus","2-s2.0-85117963184"
"Zhang D.; Jia G.; Chen L.; Jin H.; Wang Z.; Feng W.; Zhang Y.","Zhang, Dongrong (57208026892); Jia, Guodong (55800452700); Chen, Lihong (57390970300); Jin, Haiyan (36062479800); Wang, Zhifu (58744277800); Feng, Weihua (57661683300); Zhang, Youzheng (57390853000)","57208026892; 55800452700; 57390970300; 36062479800; 58744277800; 57661683300; 57390853000","Seasonal succession and spatial heterogeneity of the nekton community associated with environmental factors in Hangzhou Bay, China","2022","Regional Studies in Marine Science","49","","102108","","","","2","10.1016/j.rsma.2021.102108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121977651&doi=10.1016%2fj.rsma.2021.102108&partnerID=40&md5=085a6ebc42ee97769a7a19117d102aa9","Article","Final","","Scopus","2-s2.0-85121977651"
"Carmezim J.; Pennino M.G.; Martínez-Minaya J.; Conesa D.; Coll M.","Carmezim, João (57843910600); Pennino, Maria Grazia (40762087900); Martínez-Minaya, Joaquín (56692895500); Conesa, David (6602937342); Coll, Marta (57200581637)","57843910600; 40762087900; 56692895500; 6602937342; 57200581637","A mesoscale analysis of relations between fish species richness and environmental and anthropogenic pressures in the Mediterranean Sea","2022","Marine Environmental Research","180","","105702","","","","2","10.1016/j.marenvres.2022.105702","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135887644&doi=10.1016%2fj.marenvres.2022.105702&partnerID=40&md5=2d36f6e910c4d8f805ffe37eea3f63e0","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85135887644"
"Davies B.F.R.; Holmes L.; Bicknell A.; Attrill M.J.; Sheehan E.V.","Davies, Bede F. R. (57212496281); Holmes, Luke (35752230200); Bicknell, Anthony (39361011800); Attrill, Martin J. (7004262163); Sheehan, Emma V. (19337995000)","57212496281; 35752230200; 39361011800; 7004262163; 19337995000","A decade implementing ecosystem approach to fisheries management improves diversity of taxa and traits within a marine protected area in the UK","2022","Diversity and Distributions","28","1","","173","188","15","8","10.1111/ddi.13451","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120077686&doi=10.1111%2fddi.13451&partnerID=40&md5=adfda9189f5239438280902505ab086b","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85120077686"
"Guasparri A.","Guasparri, Andrea (26631638600)","26631638600","The Roman classification and nomenclature of aquatic animals: An annotated checklist (with a focus on ethnobiology)","2022","Anthropozoologica","57","2","","19","100","81","4","10.5252/anthropozoologica2022v57a2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125650643&doi=10.5252%2fanthropozoologica2022v57a2&partnerID=40&md5=75f9a037a5d544614a98c3437feb30f5","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85125650643"
"Miralles L.; Ibabe A.; González M.; García-Vázquez E.; Borrell Y.J.","Miralles, Laura (37038128600); Ibabe, Aitor (57217201746); González, Mónica (57222632885); García-Vázquez, Eva (7007039888); Borrell, Yaisel J. (6602517453)","37038128600; 57217201746; 57222632885; 7007039888; 6602517453","“If You Know the Enemy and Know Yourself”: Addressing the Problem of Biological Invasions in Ports Through a New NIS Invasion Threat Score, Routine Monitoring, and Preventive Action Plans","2021","Frontiers in Marine Science","8","","633118","","","","15","10.3389/fmars.2021.633118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103600216&doi=10.3389%2ffmars.2021.633118&partnerID=40&md5=70b16a4b5563cd9c1b23b4d861f6357f","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85103600216"
"Colsoul B.; Boudry P.; Pérez-Parallé M.L.; Bratoš Cetinić A.; Hugh-Jones T.; Arzul I.; Mérou N.; Wegner K.M.; Peter C.; Merk V.; Pogoda B.","Colsoul, Bérenger (57219866885); Boudry, Pierre (7003723972); Pérez-Parallé, María Luz (6506514135); Bratoš Cetinić, Ana (55545161800); Hugh-Jones, Tristan (56635850700); Arzul, Isabelle (57203007966); Mérou, Nicolas (56576298100); Wegner, Karl Mathias (7005480180); Peter, Corina (57195323845); Merk, Verena (57219866871); Pogoda, Bernadette (45661549500)","57219866885; 7003723972; 6506514135; 55545161800; 56635850700; 57203007966; 56576298100; 7005480180; 57195323845; 57219866871; 45661549500","Sustainable large-scale production of European flat oyster (Ostrea edulis) seed for ecological restoration and aquaculture: a review","2021","Reviews in Aquaculture","13","3","","1423","1468","45","27","10.1111/raq.12529","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100347391&doi=10.1111%2fraq.12529&partnerID=40&md5=879f56112abaedfad4e96c1b15f2e2c6","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85100347391"
"O'Brien J.M.; Stanley R.R.E.; Jeffery N.W.; Heaslip S.G.; DiBacco C.; Wang Z.","O'Brien, John M. (57540324300); Stanley, Ryan R. E. (55885786200); Jeffery, Nicholas W. (57211516798); Heaslip, Susan G. (6506139131); DiBacco, Claudio (6603649732); Wang, Zeliang (15137112100)","57540324300; 55885786200; 57211516798; 6506139131; 6603649732; 15137112100","Modeling demersal fish and benthic invertebrate assemblages in support of marine conservation planning","2022","Ecological Applications","32","3","e2546","","","","6","10.1002/eap.2546","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126747169&doi=10.1002%2feap.2546&partnerID=40&md5=5cbecfcd238ff9ebc6f8de8ef8ed316c","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85126747169"
"Madduppa H.; Sani L.M.I.; Nugroho K.C.; Bengen D.G.; Muchlisin Z.A.; Fadli N.; Subhan B.; Arafat D.; Zamani N.P.; Sunuddin A.; Ismet M.S.; Srimariana E.S.; Cakasana N.; Lestari D.F.; Santoso P.; Setyaningsih W.A.; Baksir A.; Manurung V.R.; Damora A.; Ramadhaniaty M.; Sartimbul A.; Oli M.Y.U.P.; Tanod W.A.; Munira; Dobo J.; Setyobudi E.; Nadiarti N.; Jompa J.; Auliyah N.; Ndobe S.; Mahyudi I.; Ninef J.S.R.; Rehatta B.M.; Moore A.M.","Madduppa, Hawis (55195963300); Sani, Lalu M. Iqbal (57218912858); Nugroho, Kuncoro Catur (57901272400); Bengen, Dietriech G. (55845650900); Muchlisin, Zainal Abidin (55937322900); Fadli, Nur (9040508900); Subhan, Beginer (55991796500); Arafat, Dondy (56499244000); Zamani, Neviaty P. (55991633900); Sunuddin, Adriani (56826075800); Ismet, Meutia Samira (57203352989); Srimariana, Endang S. (57209262528); Cakasana, Nadya (57215088391); Lestari, Dea Fauzia (57193566399); Santoso, Prakas (57216775698); Setyaningsih, Wahyu Adi (58812097500); Baksir, Abdurrachman (57218909456); Manurung, Vindy Rilani (57223028876); Damora, Adrian (57201780376); Ramadhaniaty, Mutia (57201995211); Sartimbul, Aida (15623685600); Oli, Muh Yasin Umsini Putra (57900459600); Tanod, Wendy Alexander (57207961688); Munira (57900668600); Dobo, Johny (57901476400); Setyobudi, Eko (36538104400); Nadiarti, Nadiarti (57221441941); Jompa, Jamaluddin (6603032552); Auliyah, Nurul (57210600261); Ndobe, Samliok (22985950300); Mahyudi, Indra (57900060700); Ninef, Jotham S. R. (54953255700); Rehatta, Beatrix M. (57221751174); Moore, Abigail Mary (22986023100)","55195963300; 57218912858; 57901272400; 55845650900; 55937322900; 9040508900; 55991796500; 56499244000; 55991633900; 56826075800; 57203352989; 57209262528; 57215088391; 57193566399; 57216775698; 58812097500; 57218909456; 57223028876; 57201780376; 57201995211; 15623685600; 57900459600; 57207961688; 57900668600; 57901476400; 36538104400; 57221441941; 6603032552; 57210600261; 22985950300; 57900060700; 54953255700; 57221751174; 22986023100","eDNA metabarcoding of decapod crustaceans across Indonesian seas has implications for biodiversity conservation and fisheries sustainability","2022","Frontiers in Marine Science","9","","918295","","","","1","10.3389/fmars.2022.918295","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138512060&doi=10.3389%2ffmars.2022.918295&partnerID=40&md5=9aea76a333dd9b00735be8c66acfc72f","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85138512060"
"Jutagate T.; Sawusdee A.","Jutagate, Tuantong (56311049300); Sawusdee, Amonsak (35732091800)","56311049300; 35732091800","Catch composition and risk assessment of two fishing gears used in small-scale fisheries of Bandon Bay, the Gulf of Thailand","2022","PeerJ","10","","e13878","","","","4","10.7717/peerj.13878","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136083432&doi=10.7717%2fpeerj.13878&partnerID=40&md5=ddfb74a0ef012a1d14087e70727a882b","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85136083432"
"Giddens J.; Kobayashi D.R.; Mukai G.N.M.; Asher J.; Birkeland C.; Fitchett M.; Hixon M.A.; Hutchinson M.; Mundy B.C.; O’Malley J.M.; Sabater M.; Scott M.; Stahl J.; Toonen R.; Trianni M.; Woodworth-Jefcoats P.A.; Wren J.L.K.; Nelson M.","Giddens, Jonatha (56190440000); Kobayashi, Donald R. (36009747000); Mukai, Gabriella N.M. (57226555282); Asher, Jacob (14833831000); Birkeland, Charles (6602727299); Fitchett, Mark (15831968700); Hixon, Mark A. (7003916789); Hutchinson, Melanie (55326945400); Mundy, Bruce C. (8233396200); O’Malley, Joseph M. (24773649800); Sabater, Marlowe (57788833600); Scott, Molly (57192438215); Stahl, Jennifer (57788625700); Toonen, Rob (57194223376); Trianni, Michael (6507242509); Woodworth-Jefcoats, Phoebe A. (55533402600); Wren, Johanna L.K. (55781134300); Nelson, Mark (57131922900)","56190440000; 36009747000; 57226555282; 14833831000; 6602727299; 15831968700; 7003916789; 55326945400; 8233396200; 24773649800; 57788833600; 57192438215; 57788625700; 57194223376; 6507242509; 55533402600; 55781134300; 57131922900","Assessing the vulnerability of marine life to climate change in the Pacific Islands region","2022","PLoS ONE","17","7 July","e0270930","","","","4","10.1371/journal.pone.0270930","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133720360&doi=10.1371%2fjournal.pone.0270930&partnerID=40&md5=5cd1cd2f0c71a3d83309e096cbe70135","Review","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85133720360"
"Cottrell R.S.; Metian M.; Froehlich H.E.; Blanchard J.L.; Sand Jacobsen N.; McIntyre P.B.; Nash K.L.; Williams D.R.; Bouwman L.; Gephart J.A.; Kuempel C.D.; Moran D.D.; Troell M.; Halpern B.S.","Cottrell, Richard S. (57196122128); Metian, Marc (13402858200); Froehlich, Halley E. (55818148100); Blanchard, Julia L. (55432900800); Sand Jacobsen, Nis (57210962979); McIntyre, Peter B. (55546696300); Nash, Kirsty L. (38862474300); Williams, David R. (57210249590); Bouwman, Lex (57202945421); Gephart, Jessica A. (55811795300); Kuempel, Caitlin D. (57190735946); Moran, Daniel D. (12801754000); Troell, Max (6701524165); Halpern, Benjamin S. (7103099423)","57196122128; 13402858200; 55818148100; 55432900800; 57210962979; 55546696300; 38862474300; 57210249590; 57202945421; 55811795300; 57190735946; 12801754000; 6701524165; 7103099423","Time to rethink trophic levels in aquaculture policy","2021","Reviews in Aquaculture","13","3","","1583","1593","10","27","10.1111/raq.12535","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100737927&doi=10.1111%2fraq.12535&partnerID=40&md5=f1307d03bc602dc05236517206732094","Note","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85100737927"
"Maiorano P.; Ricci P.; Chimienti G.; Calculli C.; Mastrototaro F.; D’Onghia G.","Maiorano, Porzia (6701519550); Ricci, Pasquale (57192299394); Chimienti, Giovanni (56736522400); Calculli, Crescenza (47561167200); Mastrototaro, Francesco (6603147038); D’Onghia, Gianfranco (57730687300)","6701519550; 57192299394; 56736522400; 47561167200; 6603147038; 57730687300","Deep-water species assemblages on the trawlable bottoms of the Central Mediterranean: Changes or not over time?","2022","Frontiers in Marine Science","9","","1007671","","","","1","10.3389/fmars.2022.1007671","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140847737&doi=10.3389%2ffmars.2022.1007671&partnerID=40&md5=248466b4ff4c425c6232fd77691993a8","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85140847737"
"Zarzyczny K.M.; Watson K.M.; Verduyn C.E.; Reimer J.D.; Mezaki T.; Beger M.","Zarzyczny, Karolina Magdalena (57222216788); Watson, Katie Margaret (57576582300); Verduyn, Clare Elizabeth (57576582400); Reimer, James Davis (8384589900); Mezaki, Takuma (49361596200); Beger, Maria (8530143500)","57222216788; 57576582300; 57576582400; 8384589900; 49361596200; 8530143500","The role of herbivores in shaping subtropical coral communities in warming oceans","2022","Marine Biology","169","5","62","","","","5","10.1007/s00227-022-04036-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128210538&doi=10.1007%2fs00227-022-04036-9&partnerID=40&md5=02813897cfec6fd7b5d5b498dc933e63","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85128210538"
